Title ; Release Date ; Recent Reviews ; All Reviews ; Price 
Spellbreak;15 Dec, 2020;2,504;2,504;FreeToPlay
Fights in Tight Spaces (Prologue);14 Dec, 2020;186;186;Free
TheDawn;11 Dec, 2020;2,552;2,552;FreeToPlay
Puzzle Together;9 Dec, 2020;397;397;FreeToPlay
College Kings;9 Dec, 2020;565;565;FreeToPlay
Slapshot: Rebound;7 Dec, 2020;780;780;FreeToPlay
Leaf Blower Revolution - Idle Game;4 Dec, 2020;3,190;3,190;FreeToPlay
Summerland;1 Dec, 2020;642;642;FreeToPlay
Rubber Bandits: Christmas Prologue;1 Dec, 2020;342;342;Free
The Life and Suffering of Sir Brante � Chapter 1&2;1 Dec, 2020;1,077;1,077;Free
*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP);26 Nov, 2020;3,057;3,057;FreeToPlay
Football Manager 2021;23 Nov, 2020;5,439;5,439;�39.99
Our Life: Beginnings & Always;16 Nov, 2020;660;1,521;FreeToPlay
Apex Legends�;4 Nov, 2020;17,531;105,929;�34.99
SpellForce 3: Versus Edition;3 Nov, 2020;95;520;FreeToPlay
Battle Star;2 Nov, 2020;20;82;Free
Sector's Edge;30 Oct, 2020;203;1,658;FreeToPlay
Scribble It!;20 Oct, 2020;460;1,825;�3.99
Blood of Steel;20 Oct, 2020;611;2,802;FreeToPlay
RuneScape �;14 Oct, 2020;835;10,333;�24.99
Eternal Return: Black Survival;14 Oct, 2020;6,476;16,479;FreeToPlay
Virtual Cottage;7 Oct, 2020;278;1,717;Free
Action Taimanin;5 Oct, 2020;795;4,834;FreeToPlay
STAR WARS�: Squadrons;1 Oct, 2020;1,728;16,185;�34.99
Mr.Mine;30 Sep, 2020;895;4,371;FreeToPlay
Mythgard;18 Sep, 2020;29;1,069;FreeToPlay
Phasmophobia;18 Sep, 2020;23,418;166,764;�10.99
Hades;17 Sep, 2020;16,702;102,447;�19.49
Escape Room - Der kranke Kollege;5 Sep, 2020;214;866;Free
Crusader Kings III;1 Sep, 2020;2,250;30,039;�41.99
Zoo 2: Animal Park;24 Aug, 2020;35;246;FreeToPlay
BLEACH Brave Souls;17 Aug, 2020;238;2,619;FreeToPlay
DDraceNetwork;17 Aug, 2020;234;2,578;Free
Incremental Adventures;11 Aug, 2020;31;383;FreeToPlay
Pincremental;10 Aug, 2020;16;213;FreeToPlay
Phantasy Star Online 2;5 Aug, 2020;673;7,893;FreeToPlay
Gridiron;23 Jul, 2020;136;1,109;FreeToPlay
Hello Neighbor 2 Alpha 1.5;23 Jul, 2020;247;3,051;Free
STAR WARS�: The Old Republic�;20 Dec, 2011;2,162;18,775;FreeToPlay
Quaver;10 Jul, 2020;155;2,252;FreeToPlay
Soda Dungeon 2;9 Jul, 2020;87;3,534;FreeToPlay
Ninja Kiwi Archive;8 Jul, 2020;120;1,342;FreeToPlay
The Sims� 4;2 Sep, 2014;3,147;10,432;�34.99
Unfortunate Spacemen;12 Jun, 2020;345;4,985;�19.49
STAR WARS� Battlefront� II;16 Nov, 2017;3,896;12,385;�34.99
Satisfactory;8 Jun, 2020;4,162;35,927;�27.99
Sea of Thieves;3 Jun, 2020;11,124;69,843;�34.99
GWENT: The Witcher Card Game;19 May, 2020;820;14,863;FreeToPlay
tModLoader;16 May, 2020;4,924;45,124;Free
